Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Location,Inventory Status,Work Order No,CNN,Ship To,Quantity,UOM,StockType,Quality Status,Number of Active Holds
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774059,LE00499182,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774189,LE00498839,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774219,LE00499178,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774349,LE00498843,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774417,LE00498848,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774981,LE00498842,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775124,LE00499174,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775704,LE00499190,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775797,LE00499068,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775964,LE00499037,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776015,LE00499179,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776145,LE00498587,2020-02-23,NL08,In Stock,,NL3133321064,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776343,LE00499063,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776381,LE00499059,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777357,LE00498841,2020-02-23,NL08,In Stock,,NL3133321075,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777425,LE00498591,2020-02-23,NL08,In Stock,,NL3133321064,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777517,LE00499056,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777722,LE00499167,2020-02-23,NL08,In Stock,,NL3133321088,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777944,LE00499057,2020-02-23,NL08,In Stock,,NL3133321083,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774349,LE00498843,2020-02-23,NL08,Used for Production,59290,,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774417,LE00498848,2020-02-23,NL08,Used for Production,59290,,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776145,LE00498587,2020-02-23,NL08,Used for Production,59285,,,63,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,NL08,Used for Production,59295,,,11,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,NL08,Used for Production,59289,,,48,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,LE00498844,2020-02-23,NL08,Used for Production,59298,,,4,CASE,Unrestricted,Released,0
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777425,LE00498591,2020-02-23,NL08,Used for Production,59295,,,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633128,2272241,2020-03-29,NL08,In Transit,,NL0834560105,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633135,2272242,2020-03-29,NL08,In Transit,,NL0834560105,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633142,2272243,2020-03-29,NL08,In Transit,,NL0834560105,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633159,2272244,2020-03-29,NL08,In Transit,,NL0834560105,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633166,2272245,2020-03-29,NL08,In Transit,,NL0834560106,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633173,2272246,2020-03-29,NL08,In Transit,,NL0834560106,NL30,63,CASE,Unrestricted,Released,0
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633180,2272247,2020-03-29,NL08,In Transit,,NL0834560106,NL30,63,CASE,Unrestricted,Released,0
