Item,ItemDescription,MGBC,SSCC,LocalReferenceNumber,LocalPalletID,BBD,PalletizationDateAndTime,CoPackingConversionDateAndTime,Location,TransactionDateAndTime,TransactionType,TransactionQuantity,TransactionUOM,StockType,OnHandQuantitybyStockType,ShipTo,CNN,ParentSSCC,ConsumedQuantity,MachineLine
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774059,,LE00499182,2020-02-23,,,NL08,05/04/2019 12:31,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774189,,LE00498839,2020-02-23,,,NL08,03/04/2019 13:09,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774219,,LE00499178,2020-02-23,,,NL08,05/04/2019 12:33,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774349,,LE00498843,2020-02-23,,,NL08,03/04/2019 13:08,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774417,,LE00498848,2020-02-23,,,NL08,03/04/2019 13:07,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527774981,,LE00498842,2020-02-23,,,NL08,03/04/2019 13:08,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775124,,LE00499174,2020-02-23,,,NL08,05/04/2019 12:35,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775704,,LE00499190,2020-02-23,,,NL08,05/04/2019 12:29,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775797,,LE00499068,2020-02-23,,,NL08,04/04/2019 17:22,Goods Receipt,63,,Free,,,NL3133321083,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527775964,,LE00499037,2020-02-23,,,NL08,04/04/2019 17:33,Goods Receipt,63,,Free,,,NL3133321083,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776015,,LE00499179,2020-02-23,,,NL08,05/04/2019 12:32,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776145,,LE00498587,2020-02-23,,,NL08,01/04/2019 20:16,Goods Receipt,63,,Free,,,NL3133321064,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776343,,LE00499063,2020-02-23,,,NL08,04/04/2019 17:26,Goods Receipt,63,,Free,,,NL3133321083,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776381,,LE00499059,2020-02-23,,,NL08,04/04/2019 17:27,Goods Receipt,63,,Free,,,NL3133321083,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,,LE00498844,2020-02-23,,,NL08,03/04/2019 13:09,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777357,,LE00498841,2020-02-23,,,NL08,03/04/2019 13:09,Goods Receipt,63,,Free,,,NL3133321075,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777425,,LE00498591,2020-02-23,,,NL08,01/04/2019 20:15,Goods Receipt,63,,Free,,,NL3133321064,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777517,,LE00499056,2020-02-23,,,NL08,04/04/2019 17:28,Goods Receipt,63,,Free,,,NL3133321083,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777722,,LE00499167,2020-02-23,,,NL08,05/04/2019 12:38,Goods Receipt,63,,Free,,,NL3133321088,,,
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527777944,,LE00499057,2020-02-23,,,NL08,04/04/2019 17:28,Goods Receipt,63,,Free,,,NL3133321083,,,
NR376,Bulk: MILKY WAY miniatures bulk 8kg,905E3NLD06,387199001527743345,59285,LE00557333,2020-02-16,,,NL08,02/04/2019 07:01,Used for production,-21,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,909B1NLD06,387199001528029301,59285,LE00498040,2020-02-23,,,NL08,02/04/2019 07:02,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527770785,59285,LE00498471,2020-02-16,,,NL08,02/04/2019 07:02,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527842468,59285,LE00498184,2020-02-23,,,NL08,02/04/2019 07:02,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
