Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
NR376,Bulk: MILKY WAY miniatures bulk 8kg,905E3NLD06,387199001527743345,LE00557333,2020-02-16,02/04/2019 07:01,Used for production,-21,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,909B1NLD06,387199001528029301,LE00498040,2020-02-23,02/04/2019 07:02,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527770785,LE00498471,2020-02-16,02/04/2019 07:02,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527842468,LE00498184,2020-02-23,02/04/2019 07:02,Used for production,-63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528057335,LE00498476,2020-03-15,02/04/2019 07:46,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633128,2272241,2020-03-29,02/04/2019 09:09,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633135,2272242,2020-03-29,02/04/2019 10:08,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633142,2272243,2020-03-29,02/04/2019 10:49,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633159,2272244,2020-03-29,02/04/2019 11:34,Goods Receipt Finished Goods,63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773397,LE00498479,2020-02-16,02/04/2019 12:18,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,909B3NLD06,387199001528037818,LE00498364,2020-02-23,02/04/2019 12:19,Used for production,-63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528056277,LE00498470,2020-03-15,02/04/2019 12:19,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527845483,LE00498160,2020-02-23,02/04/2019 12:19,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633166,2272245,2020-03-29,02/04/2019 12:43,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633173,2272246,2020-03-29,02/04/2019 13:39,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633180,2272247,2020-03-29,02/04/2019 13:42,Goods Receipt Finished Goods,63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528181146,LE00498658,2020-03-08,02/04/2019 13:54,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771416,LE00498475,2020-02-16,02/04/2019 13:54,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633197,2272248,2020-03-29,02/04/2019 14:31,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633203,2272249,2020-03-29,02/04/2019 15:34,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057847,LE00498478,2020-03-15,02/04/2019 15:44,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G1NLD12,387199001527845131,LE00498167,2020-02-23,02/04/2019 16:06,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633210,2272250,2020-03-29,02/04/2019 16:34,Goods Receipt Finished Goods,63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,904C1NLD06,387199001527645427,LE00497976,2020-02-09,02/04/2019 16:55,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180101,LE00498656,2020-03-08,02/04/2019 16:55,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633227,2272251,2020-03-29,02/04/2019 17:47,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633234,2272252,2020-03-29,02/04/2019 18:32,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D2NLD06,387199001528057267,LE00498477,2020-03-15,02/04/2019 18:56,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633241,2272253,2020-03-29,02/04/2019 19:16,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633258,2272254,2020-03-29,02/04/2019 20:40,Goods Receipt Finished Goods,63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773861,LE00498468,2020-02-16,02/04/2019 20:41,Used for production,-63,CASE
