date,price
01/01/2000,1394.46
01/02/2000,1366.42
01/03/2000,1498.58
01/04/2000,1452.43
01/05/2000,1420.6
01/06/2000,1454.6
01/07/2000,1430.83
01/08/2000,1517.68
01/09/2000,1436.51
01/10/2000,1429.4
01/11/2000,1314.95
01/12/2000,1320.28
01/01/2001,1366.01
01/02/2001,1239.94
01/03/2001,1160.33
01/04/2001,1249.46
01/05/2001,1255.82
01/06/2001,1224.38
01/07/2001,1211.23
01/08/2001,1133.58
01/09/2001,1040.94
01/10/2001,1059.78
01/11/2001,1139.45
01/12/2001,1148.08
01/01/2002,1130.2
01/02/2002,1106.73
01/03/2002,1147.39
01/04/2002,1076.92
01/05/2002,1067.14
01/06/2002,989.82
01/07/2002,911.62
01/08/2002,916.07
01/09/2002,815.28
01/10/2002,885.76
01/11/2002,936.31
01/12/2002,879.82
01/01/2003,855.7
01/02/2003,841.15
01/03/2003,848.18
01/04/2003,916.92
01/05/2003,963.59
01/06/2003,974.5
01/07/2003,990.31
01/08/2003,1008.01
01/09/2003,995.97
01/10/2003,1050.71
01/11/2003,1058.2
01/12/2003,1111.92
01/01/2004,1131.13
01/02/2004,1144.94
01/03/2004,1126.21
01/04/2004,1107.3
01/05/2004,1120.68
01/06/2004,1140.84
01/07/2004,1101.72
01/08/2004,1104.24
01/09/2004,1114.58
01/10/2004,1130.2
01/11/2004,1173.82
01/12/2004,1211.92
01/01/2005,1181.27
01/02/2005,1203.6
01/03/2005,1180.59
01/04/2005,1156.85
01/05/2005,1191.5
01/06/2005,1191.33
01/07/2005,1234.18
01/08/2005,1220.33
01/09/2005,1228.81
01/10/2005,1207.01
01/11/2005,1249.48
01/12/2005,1248.29
01/01/2006,1280.08
01/02/2006,1280.66
01/03/2006,1294.87
01/04/2006,1310.61
01/05/2006,1270.09
01/06/2006,1270.2
01/07/2006,1276.66
01/08/2006,1303.82
01/09/2006,1335.85
01/10/2006,1377.94
01/11/2006,1400.63
01/12/2006,1418.3
01/01/2007,1438.24
01/02/2007,1406.82
01/03/2007,1420.86
01/04/2007,1482.37
01/05/2007,1530.62
01/06/2007,1503.35
01/07/2007,1455.27
01/08/2007,1473.99
01/09/2007,1526.75
01/10/2007,1549.38
01/11/2007,1481.14
01/12/2007,1468.36
01/01/2008,1378.55
01/02/2008,1330.63
01/03/2008,1322.7
01/04/2008,1385.59
01/05/2008,1400.38
01/06/2008,1280
01/07/2008,1267.38
01/08/2008,1282.83
01/09/2008,1166.36
01/10/2008,968.75
01/11/2008,896.24
01/12/2008,903.25
01/01/2009,825.88
01/02/2009,735.09
01/03/2009,797.87
01/04/2009,872.81
01/05/2009,919.14
01/06/2009,919.32
01/07/2009,987.48
01/08/2009,1020.62
01/09/2009,1057.08
01/10/2009,1036.19
01/11/2009,1095.63
01/12/2009,1115.1
01/01/2010,1073.87
01/02/2010,1104.49
01/03/2010,1140.45
